2019-03-06 16:56:22,033 [  50916]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: ASP (191.5849.26), AngularJS (191.5849.26), Apache config (.htaccess) support (191.5849.26), Behat Support (191.5849.26), Blade Support (191.5849.26), CSS Support (191.5849.26), Codeception Framework (191.5849.26), CoffeeScript (191.5849.26), Command Line Tool Support (191.5849.26), Copyright (191.5849.26), DQL Support (191.5849.26), Database Tools and SQL (191.5849.26), Docker integration (191.5849.26), Drupal Support (191.5849.26), File Watchers (191.5849.26), GNU GetText files support (*.po) (191.5849.26), Gherkin (191.5849.26), Git Integration (191.5849.26), GitHub (191.5849.26), HTML Tools (191.5849.26), HTTP Client (191.5849.26), Haml (191.5849.26), IDE Settings Sync (191.5849.26), IDEA CORE (191.5849.26), Ini4Idea (191.5849.26), IntelliLang (191.5849.26), JavaScript Debugger (191.5849.26), JavaScript Intention Power Pack (191.5849.26), JavaScript Support (191.5849.26), Joomla! Support (191.5849.26), Less support (191.5849.26), Markdown support (191.5849.26), Mercurial Integration (191.5849.26), NodeJS (191.5849.26), PHP (191.5849.26), PHP Docker (191.5849.26), PHP Remote Interpreter (191.5849.26), PHPSpec BDD Framework (191.5849.26), Perforce Integration (191.5849.26), Performance Testing (191.5849.26), Phing Support (191.5849.26), PhpStorm Workshop (191.5849.26), ReStructuredText Support (191.5849.26), Refactor-X (191.5849.26), Remote Hosts Access (191.5849.26), SSH Remote Run (191.5849.26), Sass support (191.5849.26), Settings Repository (191.5849.26), Subversion (191.5849.26), Task Management (191.5849.26), Terminal (191.5849.26), TextMate bundles support (191.5849.26), Time Tracking (191.5849.26), Twig Support (191.5849.26), UML Support (191.5849.26), Vagrant (191.5849.26), Vue.js (191.5849.26), W3C Validators (191.5849.26), WordPress Support (191.5849.26), XPathView + XSLT Support (191.5849.26), XSLT-Debugger (191.5849.26), YAML (191.5849.26), hunspell (191.5849.26), tslint (191.5849.26) 
2019-03-06 16:56:22,033 [  50916]   INFO - llij.ide.plugins.PluginManager - Loaded custom plugins: .env files support (0.7), EditorConfig (191.5849.24), Handlebars/Mustache (191.5849.16), Ideolog (191.0.7.0) 
2019-03-06 16:56:22,033 [  50916]   INFO - llij.ide.plugins.PluginManager - Disabled plugins: IntelliJ Configuration Script (191.5849.26) 
2019-03-06 16:56:22,474 [  51357]   INFO - ij.components.ComponentManager - com.intellij.openapi.components.impl.ServiceManagerImpl initialized in 154 ms 
2019-03-06 16:56:22,500 [  51383]   INFO - cloudConfig.CloudConfigManager - === Exit: JBA_NOT_FOUND === 
2019-03-06 16:56:22,602 [  51485]   INFO - ij.components.ComponentManager - com.intellij.openapi.util.registry.RegistryState initialized in 33 ms 
2019-03-06 16:56:22,636 [  51519]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted: '/home/cmsstudent/.PhpStorm2019.1/system/caches/names.dat' does not exist 
2019-03-06 16:56:22,637 [  51520]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=500; buffer=10; max=713 
2019-03-06 16:56:22,667 [  51550]   INFO - ij.components.ComponentManager - com.intellij.openapi.vfs.newvfs.persistent.PersistentFSImpl initialized in 61 ms 
2019-03-06 16:56:22,676 [  51559]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: /opt/PhpStorm-191.5849.26/bin/fsnotifier64 
2019-03-06 16:56:22,676 [  51559]   INFO - ij.components.ComponentManager - com.intellij.openapi.vfs.impl.local.LocalFileSystemImpl initialized in 70 ms 
2019-03-06 16:56:22,696 [  51579]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2019-03-06 16:56:22,697 [  51580]   INFO - ij.components.ComponentManager - com.intellij.openapi.vfs.PlatformVirtualFileManager initialized in 94 ms 
2019-03-06 16:56:22,701 [  51584]   INFO - ij.components.ComponentManager - com.intellij.configurationStore.StoreAwareProjectManager initialized in 98 ms 
2019-03-06 16:56:23,199 [  52082]   INFO - ij.components.ComponentManager - com.intellij.openapi.fileTypes.impl.FileTypeManagerImpl initialized in 497 ms 
